job,avgsalary,experience,jobX
Database administrator,47698,1,11
Database administrator,71520,10,11
Database administrator,92682,11,11
Database administrator,67920,12,11
Database administrator,78662,13,11
Database administrator,85420,14,11
Database administrator,86631,15,11
Database administrator,96352,16,11
Database administrator,93965,17,11
Database administrator,93863,18,11
Database administrator,91818,19,11
Database administrator,35303,2,11
Database administrator,97966,20,11
Database administrator,111401,21,11
Database administrator,92209,22,11
Database administrator,92569,23,11
Database administrator,124931,24,11
Database administrator,104216,25,11
Database administrator,116058,26,11
Database administrator,110257,27,11
Database administrator,100924,28,11
Database administrator,134449,29,11
Database administrator,41992,3,11
Database administrator,125873,30,11
Database administrator,125407,31,11
Database administrator,113546,32,11
Database administrator,130640,33,11
Database administrator,92829,34,11
Database administrator,126211,35,11
Database administrator,119500,36,11
Database administrator,126242,37,11
Database administrator,127606,38,11
Database administrator,138016,39,11
Database administrator,48702,4,11
Database administrator,112847,40,11
Database administrator,124870,41,11
Database administrator,125944,42,11
Database administrator,105434,43,11
Database administrator,121555,44,11
Database administrator,110018,45,11
Database administrator,91076,46,11
Database administrator,118500,47,11
Database administrator,145078,48,11
Database administrator,85627,49,11
Database administrator,53301,5,11
Database administrator,252008,50,11
Database administrator,60196,6,11
Database administrator,59768,7,11
Database administrator,69475,8,11
Database administrator,62732,9,11
Database administrator,16284,0.5,11
Database administrator,168912,60,11
Academic researcher,127392,1,12
Academic researcher,59355,10,12
Academic researcher,92353,11,12
Academic researcher,75726,12,12
Academic researcher,80966,13,12
Academic researcher,142755,14,12
Academic researcher,90280,15,12
Academic researcher,62767,16,12
Academic researcher,82716,17,12
Academic researcher,56583,18,12
Academic researcher,105298,19,12
Academic researcher,85839,2,12
Academic researcher,86435,20,12
Academic researcher,79839,21,12
Academic researcher,69434,22,12
Academic researcher,123056,23,12
Academic researcher,104156,24,12
Academic researcher,104242,25,12
Academic researcher,206120,26,12
Academic researcher,112076,27,12
Academic researcher,91994,28,12
Academic researcher,145000,29,12
Academic researcher,42253,3,12
Academic researcher,92027,30,12
Academic researcher,72983,31,12
Academic researcher,126573,32,12
Academic researcher,93512,33,12
Academic researcher,84807,34,12
Academic researcher,91069,35,12
Academic researcher,111596,36,12
Academic researcher,171556,37,12
Academic researcher,133039,38,12
Academic researcher,106136,39,12
Academic researcher,62626,4,12
Academic researcher,132192,40,12
Academic researcher,40368,41,12
Academic researcher,183814,42,12
Academic researcher,172277,43,12
Academic researcher,126375,44,12
Academic researcher,216424,45,12
Academic researcher,160000,46,12
Academic researcher,0,47,12
Academic researcher,265400,48,12
Academic researcher,84696,49,12
Academic researcher,40403,5,12
Academic researcher,143370,50,12
Academic researcher,56126,6,12
Academic researcher,55896,7,12
Academic researcher,61373,8,12
Academic researcher,56933,9,12
Academic researcher,21950,0.5,12
Academic researcher,121568,60,13
DevOps specialist,32142,1,13
DevOps specialist,87293,10,13
DevOps specialist,109225,11,13
DevOps specialist,97804,12,13
DevOps specialist,102580,13,13
DevOps specialist,86219,14,13
DevOps specialist,100927,15,13
DevOps specialist,120258,16,13
DevOps specialist,127237,17,13
DevOps specialist,112774,18,13
DevOps specialist,111564,19,13
DevOps specialist,44567,2,13
DevOps specialist,113316,20,13
DevOps specialist,105547,21,13
DevOps specialist,124375,22,13
DevOps specialist,118619,23,13
DevOps specialist,116364,24,13
DevOps specialist,116550,25,13
DevOps specialist,141680,26,13
DevOps specialist,111466,27,13
DevOps specialist,151016,28,13
DevOps specialist,145587,29,13
DevOps specialist,58857,3,13
DevOps specialist,121945,30,13
DevOps specialist,111273,31,13
DevOps specialist,111644,32,13
DevOps specialist,122710,33,13
DevOps specialist,167939,34,13
DevOps specialist,111621,35,13
DevOps specialist,117074,36,13
DevOps specialist,135973,37,13
DevOps specialist,132122,38,13
DevOps specialist,156649,39,13
DevOps specialist,72321,4,13
DevOps specialist,124472,40,13
DevOps specialist,92956,41,13
DevOps specialist,145252,42,13
DevOps specialist,139723,43,13
DevOps specialist,137204,44,13
DevOps specialist,210955,45,13
DevOps specialist,220000,46,13
DevOps specialist,108500,47,13
DevOps specialist,137875,48,13
DevOps specialist,0,49,13
DevOps specialist,71545,5,13
DevOps specialist,249792,50,13
DevOps specialist,98193,6,13
DevOps specialist,72657,7,13
DevOps specialist,83440,8,13
DevOps specialist,82249,9,13
DevOps specialist,24776,0.5,13
DevOps specialist,147486,60,13
Other,56491,1,14
Other,97422,10,14
Other,108907,11,14
Other,106002,12,14
Other,84512,13,14
Other,110900,14,14
Other,117877,15,14
Other,94558,16,14
Other,140707,17,14
Other,107107,18,14
Other,110731,19,14
Other,87492,2,14
Other,132128,20,14
Other,113575,21,14
Other,140196,22,14
Other,152329,23,14
Other,143941,24,14
Other,136240,25,14
Other,210609,26,14
Other,142004,27,14
Other,182041,28,14
Other,136221,29,14
Other,71067,3,14
Other,109497,30,14
Other,64694,31,14
Other,113172,32,14
Other,123507,33,14
Other,104198,34,14
Other,105898,35,14
Other,127384,36,14
Other,167340,37,14
Other,157482,38,14
Other,124443,39,14
Other,51196,4,14
Other,157440,40,14
Other,182160,41,14
Other,196958,42,14
Other,225693,43,14
Other,106093,44,14
Other,126210,45,14
Other,175895,46,14
Other,94230,47,14
Other,232700,48,14
Other,175000,49,14
Other,84927,5,14
Other,77250,50,14
Other,83459,6,14
Other,83138,7,14
Other,81404,8,14
Other,172110,9,14
Other,25210,0.5,14
Other,153344,60,14
Developer  embedded applications or devices,39147,1,15
Developer  embedded applications or devices,84890,10,15
Developer  embedded applications or devices,104574,11,15
Developer  embedded applications or devices,85323,12,15
Developer  embedded applications or devices,94341,13,15
Developer  embedded applications or devices,122193,14,15
Developer  embedded applications or devices,104060,15,15
Developer  embedded applications or devices,103756,16,15
Developer  embedded applications or devices,81734,17,15
Developer  embedded applications or devices,114383,18,15
Developer  embedded applications or devices,163935,19,15
