orgsize,salary
500 to 999 employees,128972
20 to 99 employees,165000
20 to 99 employees,175000
1000 to 4999 employees,129000
5000 to 9999 employees,63828
100 to 499 employees,70276
1000 to 4999 employees,122640
100 to 499 employees,55455
20 to 99 employees,63984
5000 to 9999 employees,48168
20 to 99 employees,86040
1000 to 4999 employees,64608
100 to 499 employees,63986
10 to 19 employees,20472
5000 to 9999 employees,63828
1000 to 4999 employees,38976
5000 to 9999 employees,144456
1000 to 4999 employees,89000
20 to 99 employees,150000
100 to 499 employees,51853
2 to 9 employees,128667
20 to 99 employees,96000
5000 to 9999 employees,125639
500 to 999 employees,53000
20 to 99 employees,33480
1000 to 4999 employees,98112
10000 or more employees,200000
10000 or more employees,138637
10000 or more employees,220000
2 to 9 employees,14136
5000 to 9999 employees,141396
5000 to 9999 employees,90000
100 to 499 employees,63994
500 to 999 employees,106793
20 to 99 employees,41568
20 to 99 employees,46430
100 to 499 employees,74856
100 to 499 employees,69102
100 to 499 employees,251279
500 to 999 employees,133305
100 to 499 employees,42228
1000 to 4999 employees,130000
10 to 19 employees,38388
20 to 99 employees,106644
500 to 999 employees,109104
5000 to 9999 employees,201000
1000 to 4999 employees,67186
10000 or more employees,140000
20 to 99 employees,51192
1000 to 4999 employees,120000
5000 to 9999 employees,240000
20 to 99 employees,92000
10000 or more employees,180000
100 to 499 employees,86000
10000 or more employees,105000
20 to 99 employees,106680
1000 to 4999 employees,16704
10000 or more employees,81263
20 to 99 employees,69318
10000 or more employees,69108
20 to 99 employees,93864
20 to 99 employees,67409
100 to 499 employees,132720
I don’t know,50027
2 to 9 employees,90460
20 to 99 employees,26384
20 to 99 employees,175000
10000 or more employees,203019
20 to 99 employees,164000
20 to 99 employees,83256
100 to 499 employees,84178
10000 or more employees,115000
10000 or more employees,150000
5000 to 9999 employees,49583
10000 or more employees,34126
